ID	GRAPHEME	FREQUENCY
379	ɯ̞	0.004630
380	ŋ̩	0.004630
381	xː	0.004630
382	tɬʰ	0.004630
383	ʈʂʼ	0.004630
384	ɤ̞	0.004630
385	j̃	0.004630
386	œː	0.004630
387	l̪ˠ	0.004630
388	ɽ̤	0.004630
389	*R	0.004630
390	n̪̰	0.004630
391	↓˦	0.004630
392	tsʷ	0.004630
393	r̃	0.004630
394	N	0.004630
395	ɤː	0.004167
396	ɢʷ	0.004167
397	qʷʰ	0.004167
398	ʃʼ	0.004167
399	ɖʐ	0.004167
400	˩˨	0.004167
401	ˀw	0.004167
402	˦˥	0.004167
403	˧˩	0.004167
404	qː	0.004167
405	jˀ	0.004167
406	ndʲ	0.004167
407	ʃʲ	0.004167
408	ᶑ	0.004167
409	βʲ	0.004167
410	ʉː	0.004167
411	t̠ʃʲ	0.004167
412	ɨ̃ː	0.004167
413	n̪̤	0.004167
414	n̤	0.004167
415	ʒʷ	0.004167
416	s̪ʲ	0.004167
417	l̪ʲ	0.004167
418	iu	0.004167
419	vʷ	0.004167
420	cː	0.004167
421	dʰ	0.004167
422	ʐ͇	0.003704
423	ɖː	0.003704
424	uo	0.003704
425	nts	0.003704
426	pʼː	0.003704
427	ã̟	0.003704
428	ɐː	0.003704
429	pʲʰ	0.003704
430	kǁ	0.003704
431	ɒ̃	0.003704
432	zʲ	0.003704
433	tsʲ	0.003704
434	ie̞	0.003704
435	d̪ʲ	0.003704
436	t̪ɬ̪	0.003704
437	ŋkʷ	0.003704
438	əi	0.003704
439	ɺ̠	0.003704
440	s̪ʼ	0.003704
441	ŋǃ	0.003704
442	kǃʰ	0.003704
443	ŋɡʲ	0.003704
444	kˀ	0.003241
445	sˀ	0.003241
446	qχ	0.003241
447	ˀb	0.003241
448	sʰ	0.003241
449	˧˦	0.003241
450	ĭ	0.003241
451	χː	0.003241
452	sˤ	0.003241
453	kʲʼ	0.003241
454	ɗ̥	0.003241
455	ɤ̃	0.003241
456	ᴅ	0.003241
457	cɕ	0.003241
458	e̞i	0.003241
459	l̪̰	0.003241
460	ɯa	0.003241
461	ndʷ	0.003241
462	kǀʰ	0.003241
463	q̰	0.003241
464	t̠ʃ̰	0.003241
465	d̪ʰ	0.003241
466	cʷ	0.003241
467	wʲ	0.003241
468	i̤ː	0.003241
469	ã̰	0.003241
470	pˀ	0.002778
471	t̠ʃʷʰ	0.002778
472	n̻	0.002778
473	s̪ː	0.002778
474	tsː	0.002778
475	ˀl	0.002778
476	ɔ̰	0.002778
477	nˀ	0.002778
478	mˀ	0.002778
479	ŭ	0.002778
480	ă	0.002778
481	ŋʲ	0.002778
482	kʲʰ	0.002778
483	t̻	0.002778
484	c̟	0.002778
485	æ̃ː	0.002778
486	wˀ	0.002778
487	ɸʲ	0.002778
488	zˤ	0.002778
489	lˤ	0.002778
490	tˤ	0.002778
491	dˤ	0.002778
492	d̠ʒʲ	0.002778
493	vː	0.002778
494	n̪t̪	0.002778
495	ɯ̤	0.002778
496	d̠	0.002778
497	ɯə	0.002778
498	l̃	0.002778
499	əu	0.002778
500	o̞i	0.002778
501	ɨi	0.002778
502	n̪ʲ	0.002778
503	ɡǃ	0.002778
504	tr	0.002778
505	dr	0.002778
506	ɡǀ	0.002778
507	ts̰	0.002778
508	mʰ	0.002778
509	nʰ	0.002778
510	ea	0.002778
511	tɕʰ	0.002778
512	ṳː	0.002778
513	a̤ː	0.002778
514	ɛ̤ː	0.002778
515	ɔ̤ː	0.002778
516	ḭ̃	0.002778
517	r̤	0.002778
518	iˑ	0.002778
519	aˑ	0.002778
520	uˑ	0.002778
521	oˑ	0.002778
522	t̠ʃˀ	0.002315
523	t̠ʃʷʼ	0.002315
524	e̞ˤ	0.002315
525	t̻s̻	0.002315
526	dzː	0.002315
527	ɛ̰	0.002315
528	u̥	0.002315
529	i̥	0.002315
530	ɘː	0.002315
531	l̻	0.002315
532	ɳɖ	0.002315
533	tx	0.002315
534	t̪θʼ	0.002315
535	t̪θ	0.002315
536	kx	0.002315
537	h̃	0.002315
538	t͉	0.002315
539	p͉	0.002315
540	k͉	0.002315
541	ʰt	0.002315
542	ʰk	0.002315
543	ɳɖʐ	0.002315
544	ʕː	0.002315
545	ħː	0.002315
546	kʷː	0.002315
547	iɛ	0.002315
548	pfʰ	0.002315
549	kxʰ	0.002315
550	ø̞	0.002315
551	ɜ̃	0.002315
552	aˤ	0.002315
553	ɮ̪	0.002315
554	t̪ɬ̪ʰ	0.002315
555	mbʲ	0.002315
556	kǀ͓	0.002315
557	ŋǀ͓	0.002315
558	d̪ɮ̪	0.002315
559	o̞u	0.002315
560	ŋ̰	0.002315
561	kpʷ	0.002315
562	ndr	0.002315
563	n̠ʃ	0.002315
564	↓	0.002315
565	ɲʒ	0.002315
566	˦˨˦	0.002315
567	˨˦˨	0.002315
568	ŋmkp	0.002315
569	dzʷ	0.002315
570	d̠ʒʰ	0.002315
571	d̃	0.002315
572	b̃	0.002315
573	oa	0.002315
574	ao	0.002315
575	eu	0.002315
576	o̤ː	0.002315
577	ɖʰ	0.002315
578	e̝	0.002315
579	e̤ː	0.002315
580	ŋǁ	0.002315
581	kǁʰ	0.002315
582	ŋǀ	0.002315
583	ɲ̤	0.002315
584	eˑ	0.002315
585	ɵ̞ː	0.001852
586	k̟	0.001852
587	d̻	0.001852
588	t̻ʰ	0.001852
589	z̻	0.001852
590	ɬʲ	0.001852
591	r̠	0.001852
592	ˀɲ	0.001852
593	ɪ̈	0.001852
594	ə˞	0.001852
595	ɴ	0.001852
596	t̪θʰ	0.001852
597	ʔˤ	0.001852
598	xʼ	0.001852
599	ɯ̃ː	0.001852
600	ɤ̞̃	0.001852
601	t̠ʃ͉	0.001852
602	kʰː	0.001852
603	t̠ʃʰː	0.001852
604	tsʼː	0.001852
605	ʰp	0.001852
606	n̠ʒ	0.001852
607	t̠ʃʲʰ	0.001852
608	dˤː	0.001852
609	zˤː	0.001852
610	sˤː	0.001852
611	tˤː	0.001852
612	ɟʝʷ	0.001852
613	kǂ	0.001852
614	ɐ̃	0.001852
615	tʲʰ	0.001852
616	ɽ̃	0.001852
