ID	CONCEPT_A	CONCEPT_B	FREQUENCY
171	COVER	SHUT	0.15
172	FEATHER	FUR	0.15
173	CATTLE	COW	0.14
174	LANGUAGE	VOICE	0.14
175	LISTEN	OBEY	0.14
176	LOW	SHORT	0.14
177	FIRE	FIREWOOD	0.14
178	EARTH (SOIL)	WORLD	0.11
179	HE	IT	0.11
180	IT	SHE	0.10
181	FATHER'S BROTHER	MOTHER'S BROTHER	0.31
182	BURN (SOMETHING)	BURNING	0.30
183	FINGERNAIL	FINGERNAIL OR TOENAIL	0.29
184	ARRIVE	COME	0.29
185	CATTLE	LIVESTOCK	0.28
186	BURN (SOMETHING)	LIGHT (IGNITE)	0.18
187	LEG	THIGH	0.17
188	CEASE	FINISH	0.16
189	OLD MAN	OLD WOMAN	0.14
190	DAUGHTER	SON	0.12
191	BUILD	MAKE	0.11
192	IDEA	MIND	0.11
193	HARD	STRONG	0.11
194	FIND	SEE	0.10
195	BIG	WIDE	0.09
196	HE	HE OR SHE OR IT	0.09
197	HE OR SHE OR IT	SHE	0.09
198	HIGH	UP	0.08
199	DIVIDE	SHARE	0.45
200	SIBLING	SISTER	0.33
201	FATHER'S SISTER	MOTHER'S SISTER	0.33
202	GREEN	UNRIPE	0.29
203	FAMINE	HUNGER	0.29
204	HAIR (BODY)	PUBIC HAIR	0.29
205	PRESS	SQUEEZE	0.26
206	WE	WE (EXCLUSIVE)	0.25
207	GLASS	MIRROR	0.21
208	DIG	HOLLOW OUT	0.20
209	GATHER	PICK UP	0.19
210	PLAIT	PLAIT OR BRAID OR WEAVE	0.17
211	VOICE	WORD	0.16
212	BE SILENT	QUIET	0.15
213	ASH	DUST	0.14
214	SHOUT	SHRIEK	0.13
215	FUR	HAIR (HEAD)	0.13
216	ORDER	SEND	0.12
217	HOUR	TIME	0.11
218	CHICKEN	HEN	0.11
219	HOW	WHAT	0.11
220	BEAK	NOSE	0.10
221	HEAR	OBEY	0.10
222	CHANGE	TRADE OR BARTER	0.09
223	DARKNESS	NIGHT	0.08
224	PAIN	SICK	0.36
225	WE (EXCLUSIVE)	WE (INCLUSIVE)	0.32
226	LAME	LIMP	0.25
227	LEARN	TEACH	0.25
228	CHIEFTAIN	KING	0.24
229	FISHHOOK	HOOK	0.17
230	CORRECT (RIGHT)	TRUE	0.17
231	STICK	TREE	0.17
232	BRIGHT	LIGHT (RADIATION)	0.15
233	POUND	STRIKE OR BEAT	0.14
234	DARK	DARKNESS	0.13
235	PAIR	TWO	0.13
236	FIELD	GARDEN	0.12
237	CHOP	CUT DOWN	0.11
238	BUTTER	FAT (ORGANIC SUBSTANCE)	0.11
239	BROTHER	COUSIN	0.10
240	HIGH	LONG	0.09
241	CHILD (YOUNG HUMAN)	SON	0.09
242	BEFORE	FIRST	0.09
243	BAKE	ROAST OR FRY	0.35
244	BOY	YOUNG MAN	0.25
245	PAN	POT	0.24
246	COUNT	READ	0.21
247	GRASS	HAY	0.18
248	TIME	WEATHER	0.18
249	POUCH	SACK	0.15
250	FIRE	FLAME	0.15
251	BARK	LEATHER	0.14
252	YOUNG	YOUNG MAN	0.13
253	BLAME	FAULT	0.13
254	TREE	TREE TRUNK	0.12
255	POTATO	SWEET POTATO	0.11
256	EGG	TESTICLES	0.11
257	BEAD	NECKLACE	0.10
258	FATHER-IN-LAW (OF MAN)	SON-IN-LAW (OF MAN)	0.09
259	FAST	SOON	0.09
260	AFTERNOON	LATE	0.09
261	OLD	OLD WOMAN	0.09
262	COUNT	MEASURE	0.09
263	BODY LOUSE	HEAD LOUSE	0.08
264	HALF	MIDDLE	0.08
265	GRASS	PASTURE	0.08
266	LIGHT (COLOR)	WHITE	0.07
267	DENY	REFUSE	0.41
268	EWE	SHEEP	0.32
269	CLEVER	WISE	0.31
270	LIE DOWN	SLEEP	0.30
271	FIELD	PLAIN	0.29
272	DWELL (LIVE, RESIDE)	SIT	0.28
273	AXE	BATTLE-AXE	0.28
274	GIRL	YOUNG WOMAN	0.26
275	CATCH	TRAP (CATCH)	0.26
276	HILL	MOUNTAIN	0.25
277	EDGE	SHORE	0.23
278	SWEET POTATO	YAM	0.22
279	HOME	HOUSE	0.22
280	KNOW (SOMETHING)	LEARN	0.19
281	DISAPPEAR	LOSE	0.18
282	CLAY	EARTH (SOIL)	0.18
283	BUTTER	OIL (ORGANIC SUBSTANCE)	0.17
284	CARRY	CARRY IN HAND	0.16
285	STEPDAUGHTER	STEPSON	0.16
286	TASTE (SOMETHING)	TRY	0.15
287	SERVANT	SLAVE	0.15
288	TURN	TURN (SOMETHING)	0.14
289	SPEAK	SPEECH	0.14
290	SHOOT	THROW	0.14
291	FIGHT	QUARREL	0.12
292	PICK UP	TAKE	0.11
293	FIREWOOD	TREE	0.10
294	BOWL	PLATE	0.09
295	MEET	SEE	0.08
296	HE OR SHE OR IT	IT	0.08
297	NARROW	SMALL	0.07
298	HOWL	SHOUT	0.07
299	BRIGHT	SHINE	0.07
300	BEE	HONEY	0.07
301	CHILD (YOUNG HUMAN)	GIRL	0.07
302	GOURD	PUMPKIN	0.41
303	CROWD	MANY	0.22
304	FAULT	MISTAKE	0.21
305	DRAW MILK	SQUEEZE	0.20
306	BEAM	RAFTER	0.20
307	EYEBROW	EYELASH	0.20
308	MELT	THAW (DEW)	0.19
309	DEMON	GHOST	0.18
310	MAD	STUPID	0.17
311	EDGE	SIDE	0.17
312	DYE	PAINTING	0.17
313	WHAT	WHO	0.16
314	THOU	YOU	0.16
315	CARRY	TAKE	0.16
316	HUSBAND	MALE	0.15
317	ROPE	THREAD	0.15
318	FAR	LONG	0.15
319	BLACK	DIRTY	0.12
320	SEASON	TIME	0.12
321	DRIBBLE	DRIP (EMIT LIQUID)	0.11
322	MORNING	TOMORROW	0.11
323	ICE	SNOW	0.10
324	CEASE	STAND	0.10
325	FEW	SOME	0.09
326	GRANDMOTHER	OLD WOMAN	0.09
327	SPIN	TWIST	0.09
328	CLOTHES	DRESS	0.09
329	DAY (24 HOURS)	DAY (NOT NIGHT)	0.09
330	BOY	GIRL	0.09
331	NIPPLE	UDDER	0.08
332	GATHER	JOIN	0.08
333	PLANT (VEGETATION)	TREE	0.07
334	COUSIN	SISTER	0.07
335	SMELL (STINK)	SNIFF	0.07
336	FATHER	FATHER'S BROTHER	0.07
337	REMEMBER	THINK (REFLECT)	0.07
338	BALL	ROUND	0.07
339	BAD	WRONG	0.07
340	POST	TREE	0.07
341	ROAD	STREET	0.07
342	LISTEN	UNDERSTAND	0.07
343	LATCH	LOCK	0.07
344	FEMALE (OF PERSON)	WOMAN	0.06
345	POST	WOOD	0.06
346	BATHE	WASH	0.43
347	OVEN	STOVE	0.42
348	FLOAT	SWIM	0.29
349	FORK	PITCHFORK	0.29
350	BULL	OX	0.27
351	COLOR	PAINT (PIGMENTS)	0.24
352	HEART	SPIRIT	0.23
353	CALM	QUIET	0.19
354	BRING	CARRY	0.19
355	HOLD	KEEP	0.18
356	DRIP (FALL IN GLOBULES)	FALL	0.18
357	ROT	SPOIL (BECOME SPOILED)	0.18
358	BRANCH	FORKED BRANCH	0.17
359	COLLAR	NECK	0.17
360	CALCULATE	COUNT	0.17
361	EVENING	NIGHT	0.17
362	CARRY	CARRY ON SHOULDER	0.16
363	BEND	CROOKED	0.16
364	DECEIT	LIE (MISLEAD)	0.15
365	AFTERWARDS	THEN	0.14
366	DRIVE	GO	0.14
367	ARMY	SOLDIER	0.13
368	FALL	TUMBLE (FALL DOWN)	0.12
369	ANIMAL	LIVESTOCK	0.12
370	NEEDLE (FOR SEWING)	PIN	0.11
371	SPEECH	WORD	0.11
372	MOORLAND	SWAMP	0.11
373	CARRY IN HAND	HOLD	0.11
374	FIND	GET	0.11
375	IMMEDIATELY	SOON	0.10
376	GARDEN-HOUSE	HUT	0.10
377	HOWL	SHRIEK	0.10
378	SPEAK	TELL	0.10
379	FIREPLACE	STOVE	0.10
380	WHAT	WHICH	0.09
381	GO OUT	LEAVE	0.09
382	SHELL	SNAIL	0.08
383	FEEL	TOUCH	0.08
384	FOWL	HEN	0.08
385	FEEL	HEAR	0.08
386	FEMALE (OF ANIMAL)	FEMALE (OF PERSON)	0.08
387	FLY (MOVE THROUGH AIR)	JUMP	0.08
388	HUSBAND	MALE (OF PERSON)	0.07
389	CORPSE	DIE	0.07
390	BESIDE	SIDE	0.07
391	ABOVE	UP	0.07
392	COUNTRY	WORLD	0.07
393	SMOOTH	SOFT	0.07
394	BEE	WASP	0.07
395	DESTROY	INJURE	0.07
396	END (OF SPACE)	LAST (FINAL)	0.07
397	CHICKEN	ROOSTER	0.06
398	GIVE	LEND	0.06
399	MALE (OF ANIMAL)	MAN	0.06
400	CHILD (DESCENDANT)	DAUGHTER	0.06
401	LANGUAGE	TONGUE	0.61
402	CLOCK	HOUR	0.42
403	LIP	MOUTH	0.30
404	ACCUSE	BLAME	0.21
405	HAIR (HEAD)	PUBIC HAIR	0.20
406	CLOUD	SKY	0.20
407	CHILD (DESCENDANT)	DESCENDANTS	0.18
408	CALL	CALL BY NAME	0.18
409	BOIL (OF LIQUID)	COOK (SOMETHING)	0.17
410	CLAW	FINGERNAIL OR TOENAIL	0.17
411	SPEAK	TALK	0.17
412	BOAR	PIG	0.16
413	PATH OR ROAD	ROAD	0.16
414	BRACKISH	SALTY	0.15
415	CLAW	PAW	0.15
416	SAY	TELL	0.13
417	POWERFUL	STRONG	0.12
418	DRESS	SHIRT	0.12
419	CUT	MOW	0.12
420	MAKE	PRODUCE	0.11
421	LIGHT (COLOR)	LIGHT (RADIATION)	0.10
422	EAT	FOOD	0.10
423	DOWN OR BELOW	LOW	0.10
424	FEMALE	WIFE	0.10
425	BACK	UPPER BACK	0.10
426	KEY	LOCK	0.10
427	BATHE	SWIM	0.10
428	LANGUAGE	SPEECH	0.10
429	BIG	THICK	0.09
430	OLDER BROTHER	OLDER SISTER	0.09
431	FORBID	PREVENT	0.09
432	MIND	SPIRIT	0.09
433	REMAIN	SIT	0.09
434	BEAK	MOUTH	0.09
435	DROWN	SINK (DESCEND)	0.09
436	PART	PIECE	0.08
437	EAGLE	HAWK	0.08
438	DUST	EARTH (SOIL)	0.08
439	DAUGHTER-IN-LAW (OF MAN)	SON-IN-LAW (OF WOMAN)	0.08
440	SQUEEZE	TWIST	0.08
441	COUNTRY	NATIVE COUNTRY	0.08
442	MALE (OF ANIMAL)	MALE (OF PERSON)	0.08
443	OLDER SISTER	SISTER	0.08
444	LAND	MAINLAND	0.08
445	FENCE	WALL (OF HOUSE)	0.08
446	TREE STUMP	TREE TRUNK	0.07
447	GOOD	HEALTHY	0.07
448	DAY (NOT NIGHT)	LIGHT (RADIATION)	0.07
449	FOG	SMOKE (EXHAUST)	0.07
450	ARROW	BOW	0.07
451	CATCH	GET	0.07
452	GRANDCHILD	GRANDSON	0.06
453	DAY (NOT NIGHT)	WEATHER	0.06
454	SUMMER	YEAR	0.06
455	HARE	RABBIT	0.06
456	FEVER	HOT	0.06
457	MILK	UDDER	0.06
458	DAUGHTER-IN-LAW (OF WOMAN)	MOTHER-IN-LAW (OF MAN)	0.06
459	KNOW (SOMETHING)	SEE	0.06
460	CANDLE	TORCH OR LAMP	0.05
461	FATHER-IN-LAW (OF WOMAN)	SON-IN-LAW (OF WOMAN)	0.05
462	CULTIVATE	SOW SEEDS	0.05
463	LOCK	PADLOCK	0.05
464	FATHER-IN-LAW (OF MAN)	MOTHER'S BROTHER	0.05
465	CIGARETTE	TOBACCO	0.04
466	SHAKE	SHIVER	0.30
467	BRIGHT	LIGHT (COLOR)	0.29
468	GREEDY	STINGY	0.29
469	HIP	THIGH	0.27
470	PULL	STRETCH	0.26
471	END (OF TIME)	FINISH	0.21
472	GRASP	TRAP (CATCH)	0.21
473	HIDE (CONCEAL)	HIDE (ONESELF)	0.19
474	PIG	SOW (FEMALE PIG)	0.19
475	DRINK	EAT	0.19
476	BOLT (MOVE IN HASTE)	HURRY	0.16
477	BEAM	RIDGEPOLE	0.16
478	ESCAPE	FLEE	0.15
479	GRANDFATHER	GRANDMOTHER	0.14
480	LOOK	WATCH	0.14
481	BREAK (DESTROY OR GET DESTROYE	SPLIT	0.14
482	SIT	SIT DOWN	0.14
483	BEAT	HIT	0.13
484	BACK (DIRECTION)	BACKWARD	0.13
485	FLOW	STREAM (FLOW CONTINUOUSLY)	0.12
486	CLAW OR NAIL	FINGERNAIL	0.12
487	HEAD	TOP	0.12
488	CARRY	CARRY ON HEAD	0.12
489	ONCE (IN THE PAST)	ONE TIME	0.12
490	LAKE	SEA	0.11
491	CHIEFTAIN	MASTER	0.11
492	FIR	PINE	0.11
493	IMMEDIATELY	NOW	0.10
494	DISH	SAUCER	0.10
495	BIG	MANY	0.10
496	EARTH (SOIL)	MAINLAND	0.10
497	EXTINGUISH	KILL	0.09
498	PLATE	SAUCER	0.09
499	INSECT	WORM	0.09
500	OPEN	UNTIE	0.09
501	IDEA	INTENTION	0.09
502	FISHNET	NETBAG	0.09
503	CUT	CUT DOWN	0.09
504	BODY	SKIN	0.09
505	CUSTOM	MANNER	0.09
506	FUR	WOOL	0.09
507	MARRIED WOMAN	WIFE	0.08
508	COUSIN	SIBLING	0.08
509	SMALL	YOUNG	0.08
510	BROTHER	YOUNGER BROTHER	0.08
511	KILL	STRIKE OR BEAT	0.08
512	DAUGHTER-IN-LAW (OF MAN)	SON-IN-LAW (OF MAN)	0.08
513	ROTTEN	STINKING	0.08
514	BROTHER	OLDER BROTHER	0.08
515	COME	GO	0.08
516	BULL	COW	0.08
517	ENOUGH	MANY	0.07
518	BITE	EAT	0.07
519	SISTER	YOUNGER SISTER	0.07
520	HEAD	SKULL	0.07
521	GUN	WEAPONS	0.07
522	CLOUD	SMOKE (EXHAUST)	0.07
523	EXPLAIN	TEACH	0.07
524	BRASS INSTRUMENT (HORN OR TRUMPET)	FLUTE	0.07
525	EAR	EARLOBE	0.07
526	FEMALE (OF ANIMAL)	WIFE	0.07
527	SHORT	SMALL	0.07
528	BRIDGE	LADDER	0.07
529	GRIND	SQUEEZE	0.06
530	DIVE	SINK (DESCEND)	0.06
531	GOAT	HE-GOAT	0.06
532	DOORPOST	POST	0.06
533	AT	IN	0.06
534	BATTLE	QUARREL	0.06
535	MOTHER	MOTHER'S SISTER	0.06
536	LEAF	LEAF (LEAFLIKE OBJECT)	0.06
537	HOLD	OWN	0.06
538	BOARD	WOOD	0.06
539	MOON	SUN	0.06
540	FACE	FOREHEAD	0.06
541	CRY	HOWL	0.06
542	AFTERNOON	EVENING	0.06
543	TREE TRUNK	WOOD	0.06
544	CLOTHES	SHIRT	0.06
545	DAY (NOT NIGHT)	TIME	0.05
546	HAIR (BODY)	WOOL	0.05
547	CLUB	TREE	0.05
548	FLOOR	WORLD	0.05
549	FATHER'S SISTER	MOTHER-IN-LAW (OF MAN)	0.05
550	CLOTH	RAG	0.05
551	CLUB	WOOD	0.04
552	TOP	UP	0.04
553	MUD	SWAMP	0.04
554	HOST	MASTER	0.30
555	HOUSE	ROOM	0.30
556	STUDY	TEACH	0.22
557	GATHER	PILE UP	0.21
558	BEARD	CHIN	0.21
559	DAY AFTER TOMORROW	DAY BEFORE YESTERDAY	0.20
560	CHIME (ACTION)	RING (MAKE SOUND)	0.17
561	BEAUTIFUL	GOOD-LOOKING	0.16
562	CLEAR	LIGHT (COLOR)	0.16
563	DISTANCE	GAP (DISTANCE)	0.16
564	READ	STUDY	0.16
565	FLAT	SMOOTH	0.15
566	TIE	TIE UP (TETHER)	0.15
567	BREAK (CLEAVE)	BREAK (DESTROY OR GET DESTROYE	0.15
568	EARTH (SOIL)	GROUND	0.15
569	ROOF	THATCH	0.14
570	TURN (SOMETHING)	TURN AROUND	0.14
571	WHICH	WHO	0.13
572	EARTH (SOIL)	SAND	0.13
573	CULTIVATE	PLOUGH	0.13
574	CHOP	SPLIT	0.12
575	EYE	FACE	0.12
576	DEFEND	PRESERVE	0.11
577	CHILI PEPPER	PEPPER	0.11
578	FLOW	RUN	0.11
579	RAIN (PRECIPITATION)	WATER	0.11
580	MISTAKE	WRONG	0.11
581	THAT	THIS	0.11
582	BEND	FOLD	0.10
583	BUTTOCKS	HIP	0.10
584	BOOK	LETTER	0.10
585	CAMPFIRE	FIRE	0.10
586	CONCEIVE	PREGNANT	0.10
587	CATCH	SEIZE	0.09
588	CHEEK	JAW	0.09
589	GIVE	SELL	0.09
590	SEPARATE	SHARE	0.08
591	BUDGE (ONESELF)	MOVE (ONESELF)	0.08
592	HARD	SOLID	0.08
593	PASTURE	PLAIN	0.08
594	DINNER (SUPPER)	MEAL	0.08
595	SCAR	WOUND	0.08
596	BRAIN	MIND	0.08
597	DRESS	SKIRT	0.08
598	FRUIT	SEED	0.08
599	BITE	CHEW	0.08
600	BUY	SELL	0.07
601	MESSAGE	NEWS	0.07
602	GUARD	KEEP	0.07
603	CLAN	PEOPLE	0.07
604	DINNER (SUPPER)	LUNCH	0.07
605	BIG	TALL	0.07
606	LAMB	SHEEP	0.07
607	LET GO OR SET FREE	UNTIE	0.07
608	MARRY	WEDDING	0.07
609	COME BACK	TURN (SOMETHING)	0.07
610	SALT	SALTY	0.07
611	COIN	SILVER	0.07
612	BOUNDARY	EDGE	0.06
613	SEEM	SIMILAR	0.06
614	FAST	HURRY	0.06
615	CARRY IN HAND	CARRY UNDER ARM	0.06
616	END (OF TIME)	LAST (FINAL)	0.06
617	GRANDFATHER	OLD MAN	0.06
618	THROAT	VOICE	0.06
619	BOTTOM	BUTTOCKS	0.06
620	COUNTRY	VILLAGE	0.06
621	FIRE	LIGHT (RADIATION)	0.06
622	BALL	CIRCLE	0.06
623	ARM	WING	0.06
624	CUT	SPLIT	0.06
625	SPEAK	WORD	0.06
626	NORTH	SOUTH	0.06
627	BEND	TWIST	0.05
628	FISHING LINE	THREAD	0.05
629	AGAIN	AND	0.05
630	BREAK (DESTROY OR GET DESTROYED)	BROKEN	0.05
631	HEN	ROOSTER	0.05
632	BORE	HOLLOW OUT	0.05
633	IT	THAT	0.05
634	DAUGHTER-IN-LAW (OF MAN)	MOTHER-IN-LAW (OF MAN)	0.05
635	BATTLE	FIGHT	0.05
636	GREEN	YELLOW	0.05
637	DAUGHTER-IN-LAW (OF MAN)	MOTHER-IN-LAW (OF WOMAN)	0.05
638	FATHER'S SISTER	MOTHER-IN-LAW (OF WOMAN)	0.05
639	MEDICINE	POISON	0.05
640	GREEN	RAW	0.05
641	GRANDCHILD	GRANDDAUGHTER	0.04
642	RISE (MOVE UPWARDS)	STAND	0.04
643	SALTY	SOUR	0.04
644	THICK	WIDE	0.04
645	DAUGHTER-IN-LAW (OF MAN)	FATHER-IN-LAW (OF WOMAN)	0.04
646	FOOT	FOOTPRINT	0.04
647	BELOW OR UNDER	INSIDE	0.04
648	BUY	PAY	0.04
649	LET GO OR SET FREE	LIBERATE	0.04
650	PRICE	WAGES	0.04
651	FORBID	REFUSE	0.04
652	GET	PICK UP	0.04
653	TAKE	TRAP (CATCH)	0.04
654	DIRTY	UGLY	0.04
655	MOSQUITO	SANDFLY	0.34
656	EASY	LIGHT (WEIGHT)	0.33
657	BESIDE	NEAR	0.29
658	BRUSH	COMB	0.29
659	DYE	PAINT (PIGMENTS)	0.27
660	BE ALIVE	LIFE	0.23
661	GRANDSON	NEPHEW	0.20
662	BUY	TAKE	0.19
663	DRAG	PULL	0.19
664	GRANDDAUGHTER	NIECE	0.18
665	BLOW (OF WIND)	BLOW (WITH MOUTH)	0.17
666	TOMORROW	YESTERDAY	0.16
667	LAY (VERB)	PUT	0.15
668	JOG (SOMETHING)	SHAKE	0.14
669	AMOUNT	COUNT (QUANTITY)	0.14
670	BITTER	SALTY	0.13
671	LINE	STROKE (OF PEN)	0.13
672	LIKE	LOVE	0.13
673	CORRECT (RIGHT)	RIGHT	0.13
674	GRIND	PRESS	0.13
675	EDGE	FRINGE	0.12
676	CONDEMN	CONVICT	0.12
677	SOUND OR NOISE	TONE (MUSIC)	0.11
678	LEAVE	WALK	0.10
679	STOMACH	WOMB	0.10
680	MOLAR TOOTH	TOOTH	0.10
681	BAD	EVIL	0.10
682	STORM	WIND	0.10
683	CIRCLE	WHEEL	0.10
684	BODY	CORPSE	0.09
685	COAST	SHORE	0.09
686	RED	RIPE	0.09
687	BELIEVE	THINK (BELIEVE)	0.09
688	GUESS	THINK (REFLECT)	0.09
689	CULTIVATE	PLANT (SOMETHING)	0.09
690	TONE (MUSIC)	VOICE	0.08
691	RUB	SCRAPE	0.08
692	KNIFE	SWORD	0.08
693	CHAT (WITH SOMEBODY)	TALK	0.08
694	ALCOHOL (FERMENTED DRINK)	WINE	0.08
695	HALF	PART	0.08
696	IDOL	STATUE	0.08
697	BELOW OR UNDER	BOTTOM	0.08
698	BE LATE	LATE	0.07
699	ASK (REQUEST)	PRAY	0.07
700	DAUGHTER-IN-LAW (OF WOMAN)	SON-IN-LAW (OF WOMAN)	0.07
701	SMELL (STINK)	STINKING	0.07
702	DISEASE	PAIN	0.07
703	FIN	WING	0.07
704	DIFFICULT	HARD	0.07
